	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting NSAF	Confident Phosphosites	#Confident Phosphosites	Ambiguous Phosphosites	#Ambiguous Phosphosites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A0A090I368	A0A090I368_METFO_Formylmethanofuran_dehydrogenase_subunit_E_OS=Methanobacterium_formicicum_OX=2162_GN=fwdE-2_PE=4_SV=1			22.860347077954216	85.37	5.37	0.014634146341463415		0		0	Single Protein		A0A090I368	1	19	19	1	19	1	4	24	100.0	Doubtful
2	A0A090I383	A0A090I383_METFO_Diaminopimelate_decarboxylase_OS=Methanobacterium_formicicum_OX=2162_GN=lysA_PE=3_SV=1			47.44991535294705	71.73	5.14	0.007653061224489796		0		0	Single Protein		A0A090I383	2	30	30	2	30	2	4	43	100.0	Confident
3	A0A090I2W0	A0A090I2W0_METFO_Glutamate_synthase_beta_subunit_GltB2_OS=Methanobacterium_formicicum_OX=2162_GN=gltB2_PE=4_SV=1			22.159096742623635	43.6	7.58	0.043478260869565216		0		0	Single Protein		A0A090I2W0	1	6	6	1	6	1	5	13	100.0	Doubtful
4	A0A090I2T3	A0A090I2T3_METFO_Methyl-coenzyme_M_reductase_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=mrtB_PE=3_SV=1			47.4749949124951	41.76	34.76	0.6061738965997462		0		0	Single Protein		A0A090I2T3	19	31	31	19	31	19	450	524	100.0	Confident
5	A0A090JWZ4	A0A090JWZ4_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1711_PE=4_SV=1			35.08303341119526	100.0	10.46	0.004901960784313725		0		0	Single Protein		A0A090JWZ4	2	36	36	2	36	2	3	53	100.0	Doubtful
6	A0A090I345	A0A090I345_METFO_3-isopropylmalate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=leuB3_PE=4_SV=1			35.66912764819991	55.79	32.01	0.04864185110663981		0		0	Single Protein		A0A090I345	8	26	26	8	26	8	31	57	100.0	Confident
7	A0A090I2T7	A0A090I2T7_METFO_Methyl-coenzyme_M_reductase_subunit_gamma_OS=Methanobacterium_formicicum_OX=2162_GN=mcrG_PE=3_SV=1			28.43216440352032	100.0	24.5	0.02041499330655957		0		0	Single Protein		A0A090I2T7	4	56	56	4	56	4	8	94	100.0	Confident
8	A0A090I2T8	A0A090I2T8_METFO_Digeranylgeranylglycerophospholipid_reductase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1097_PE=3_SV=1			42.2009676244594	91.6	9.92	0.007870370370370371		0		0	Single Protein		A0A090I2T8	3	35	34	3	34	3	5	50	100.0	Confident
9	A0A090I2R3	A0A090I2R3_METFO_TGc_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1067_PE=4_SV=1			130.82308384757442	49.0	30.65	0.03013950927975615		0		0	Single Protein		A0A090I2R3	27	52	49	25	49	25	124	198	100.0	Confident
10	A0A090I333	A0A090I333_METFO_Signal_recognition_particle_54_kDa_protein_OS=Methanobacterium_formicicum_OX=2162_GN=srp54_PE=3_SV=1			49.52492927884669	92.99	7.01	0.010543390105433901		0		0	Single Protein		A0A090I333	3	74	74	3	74	3	6	101	100.0	Confident
11	A0A090I340	A0A090I340_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2282_PE=4_SV=1			15.12075937116786	100.0	33.33	0.037247474747474744		0		0	Single Protein		A0A090I340	4	28	28	4	28	4	8	44	100.0	Confident
12	A0A089ZFE4	A0A089ZFE4_METFO_Pyridoxamine_5'-phosphate_oxidase_family_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0858_PE=4_SV=1			18.25244444699056	83.44	5.73	0.012738853503184714		0		0	Single Protein		A0A089ZFE4	1	20	20	1	20	1	2	30	100.0	Doubtful
