	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting NSAF	Confident Phosphosites	#Confident Phosphosites	Ambiguous Phosphosites	#Ambiguous Phosphosites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A0A090I383	A0A090I383_METFO_Diaminopimelate_decarboxylase_OS=Methanobacterium_formicicum_OX=2162_GN=lysA_PE=3_SV=1			47.44991535294705	77.8	10.51	0.00892857142857143		0		0	Single Protein		A0A090I383	4	42	42	4	42	4	7	57	100.0	Confident
2	A0A090I2W0	A0A090I2W0_METFO_Glutamate_synthase_beta_subunit_GltB2_OS=Methanobacterium_formicicum_OX=2162_GN=gltB2_PE=4_SV=1			22.159096742623635	43.6	20.85	0.03260869565217391		0		0	Single Protein		A0A090I2W0	3	12	12	3	12	3	4	22	100.0	Confident
3	A0A090I2T3	A0A090I2T3_METFO_Methyl-coenzyme_M_reductase_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=mrtB_PE=3_SV=1			47.4749949124951	41.76	42.89	0.11246850151012587		0		0	Single Protein		A0A090I2T3	20	33	33	20	33	20	142	276	100.0	Confident
4	A0A090JWZ4	A0A090JWZ4_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1711_PE=4_SV=1			35.08303341119526	100.0	12.09	0.004901960784313725		0		0	Single Protein		A0A090JWZ4	2	31	31	2	31	2	2	47	100.0	Confident
5	A0A090I345	A0A090I345_METFO_3-isopropylmalate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=leuB3_PE=4_SV=1			35.66912764819991	55.79	24.09	0.027543035993740216		0		0	Single Protein		A0A090I345	5	24	24	5	24	5	11	48	100.0	Confident
6	A0A090I2S7	A0A090I2S7_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0891_PE=4_SV=1			52.922648723390395	88.98	3.67	0.0020408163265306124		0		0	Single Protein		A0A090I2S7	1	50	50	1	50	1	1	61	88.23529411764706	Doubtful
7	A0A090I360	A0A090I360_METFO_F420H2_oxidase_FprA_OS=Methanobacterium_formicicum_OX=2162_GN=fprA3_PE=4_SV=1			45.63002841869407	89.93	7.13	0.004098360655737705		0		0	Single Protein		A0A090I360	2	25	25	2	25	2	2	31	100.0	Confident
8	A0A090I2T7	A0A090I2T7_METFO_Methyl-coenzyme_M_reductase_subunit_gamma_OS=Methanobacterium_formicicum_OX=2162_GN=mcrG_PE=3_SV=1			28.43216440352032	100.0	28.51	0.015327978580990631		0		0	Single Protein		A0A090I2T7	5	52	52	5	52	5	8	81	100.0	Confident
9	A0A090I2T8	A0A090I2T8_METFO_Digeranylgeranylglycerophospholipid_reductase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1097_PE=3_SV=1			42.2009676244594	91.6	6.62	0.004166666666666667		0		0	Single Protein		A0A090I2T8	2	38	38	2	38	2	2	50	100.0	Confident
10	A0A090I333	A0A090I333_METFO_Signal_recognition_particle_54_kDa_protein_OS=Methanobacterium_formicicum_OX=2162_GN=srp54_PE=3_SV=1			49.52492927884669	92.99	4.98	0.0036496350364963502		0		0	Single Protein		A0A090I333	2	89	89	2	89	2	2	129	100.0	Confident
11	A0A090I2R3	A0A090I2R3_METFO_TGc_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1067_PE=4_SV=1			130.82308384757442	49.0	24.83	0.01811802694584233		0		0	Single Protein		A0A090I2R3	21	43	42	20	43	21	55	115	100.0	Confident
