	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A0A090I374	A0A090I374_METFO_Putative_membrane_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1287_PE=4_SV=1			13.819798672574136	26.67	0.0	0.0					Single Protein		A0A090I374	0	1	1	0	0	0	0	1	0.0	Not Validated
2	A0A090I2V5	A0A090I2V5_METFO_tRNA_(guanine(26)-N(2))-dimethyltransferase_OS=Methanobacterium_formicicum_OX=2162_GN=trm1_PE=3_SV=1			43.31921694621714	89.69	0.0	0.0					Single Protein		A0A090I2V5	0	51	51	0	0	0	0	66	0.0	Not Validated
3	A0A090I376	A0A090I376_METFO_Type_11_methyltransferase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1129_PE=4_SV=1			29.22617224651586	85.49	0.0	0.0					Single Protein		A0A090I376	0	21	21	0	0	0	0	26	0.0	Not Validated
4	A0A090I377	A0A090I377_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1292_PE=4_SV=1			35.647034806501104	69.47	5.92	28.235166808255077					Single Protein		A0A090I377	1	35	35	1	0	0	1	42	75.0	Not Validated
5	A0A090I370	A0A090I370_METFO_N-acetyltransferase_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1119_PE=4_SV=1			22.77830980866992	77.95	0.0	0.0					Single Protein		A0A090I370	0	37	37	0	0	0	0	57	0.0	Not Validated
6	A0A090I371	A0A090I371_METFO_Imidazole_glycerol_phosphate_synthase_subunit_HisF_OS=Methanobacterium_formicicum_OX=2162_GN=hisF1_PE=3_SV=1			30.075956683420745	78.47	0.0	0.0					Single Protein		A0A090I371	0	20	20	0	0	0	0	25	0.0	Not Validated
7	A0A090I2V2	A0A090I2V2_METFO_Protein_synthesis_factor_GTP-binding_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0926_PE=4_SV=1			58.89485740934137	93.4	0.0	0.0					Single Protein		A0A090I2V2	0	47	47	0	0	0	0	60	0.0	Not Validated
8	A0A090I2V3	A0A090I2V3_METFO_Acetyltransferase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1118_PE=4_SV=1			16.174096576547626	62.86	0.0	0.0					Single Protein		A0A090I2V3	0	22	22	0	0	0	0	27	0.0	Not Validated
9	A0A090I373	A0A090I373_METFO_ABC-type_transport_system,_permease_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1124_PE=4_SV=1			38.55080552296464	75.82	0.0	0.0					Single Protein		A0A090I373	0	11	11	0	0	0	0	12	0.0	Not Validated
10	A0A089ZFJ4	A0A089ZFJ4_METFO_CDP-diacylglycerol/serine_O-phosphatidyltransferase_OS=Methanobacterium_formicicum_OX=2162_GN=pssA_PE=3_SV=1			26.16305517403422	50.42	0.0	0.0					Single Protein		A0A089ZFJ4	0	4	4	0	0	0	0	4	0.0	Not Validated
11	A0A090I2U7	A0A090I2U7_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0951_PE=4_SV=1			21.07893762980883	84.78	0.0	0.0					Single Protein		A0A090I2U7	0	43	43	0	0	0	0	63	0.0	Not Validated
12	A0A090I367	A0A090I367_METFO_Transglutaminase_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1114_PE=4_SV=1			22.266015628255392	100.0	0.0	0.0					Single Protein		A0A090I367	0	10	10	0	0	0	0	11	0.0	Not Validated
13	A0A090I368	A0A090I368_METFO_Formylmethanofuran_dehydrogenase_subunit_E_OS=Methanobacterium_formicicum_OX=2162_GN=fwdE-2_PE=4_SV=1			22.860347077954216	85.37	0.0	0.0					Single Protein		A0A090I368	0	26	26	0	0	0	0	36	0.0	Not Validated
14	A0A090I2U8	A0A090I2U8_METFO_Type_11_methyltransferase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1113_PE=4_SV=1			29.502234312912204	70.04	0.0	0.0					Single Protein		A0A090I2U8	0	17	17	0	0	0	0	26	0.0	Not Validated
15	A0A089ZFJ0	A0A089ZFJ0_METFO_2-oxoglutarate_ferredoxin_oxidoreductase_subunit_delta_KorD_OS=Methanobacterium_formicicum_OX=2162_GN=korD_PE=4_SV=1			8.584957312027933	100.0	0.0	0.0					Single Protein		A0A089ZFJ0	0	21	21	0	0	0	0	29	0.0	Not Validated
16	A0A090I385	A0A090I385_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1139_PE=4_SV=1			31.55078344610164	20.2	5.39	104.94070330401472					Single Protein		A0A090I385	1	5	5	1	0	0	1	6	70.58823529411764	Not Validated
17	A0A090I387	A0A090I387_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1312_PE=4_SV=1			16.140667538738338	77.37	0.0	0.0					Single Protein		A0A090I387	0	37	37	0	0	0	0	47	0.0	Not Validated
18	A0A090I2W7	A0A090I2W7_METFO_ArsR_family_transcriptional_regulator_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2203_PE=4_SV=1			11.276022274217949	100.0	0.0	0.0					Single Protein		A0A090I2W7	0	20	20	0	0	0	0	22	0.0	Not Validated
19	A0A090I388	A0A090I388_METFO_HTH_marR-type_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1144_PE=4_SV=1			20.27576986614257	100.0	0.0	0.0					Single Protein		A0A090I388	0	25	25	0	0	0	0	39	0.0	Not Validated
20	A0A090I382	A0A090I382_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1302_PE=4_SV=1			23.10282924894934	100.0	0.0	0.0					Single Protein		A0A090I382	0	32	32	0	0	0	0	50	0.0	Not Validated
21	A0A090I383	A0A090I383_METFO_Diaminopimelate_decarboxylase_OS=Methanobacterium_formicicum_OX=2162_GN=lysA_PE=3_SV=1			47.44991535294705	77.8	10.51	56.21823391286503					Single Protein		A0A090I383	4	42	42	4	42	4	7	57	100.0	Confident
22	A0A090I2W4	A0A090I2W4_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0941_PE=4_SV=1			25.793860372408318	100.0	0.0	0.0					Single Protein		A0A090I2W4	0	39	39	0	0	0	0	44	0.0	Not Validated
23	A0A090I2W0	A0A090I2W0_METFO_Glutamate_synthase_beta_subunit_GltB2_OS=Methanobacterium_formicicum_OX=2162_GN=gltB2_PE=4_SV=1			22.159096742623635	43.6	20.85	205.31876733394182					Single Protein		A0A090I2W0	3	12	12	3	12	3	4	22	100.0	Confident
24	A0A090I380	A0A090I380_METFO_Flavodoxin_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2204_PE=4_SV=1			17.038860669737147	100.0	0.0	0.0					Single Protein		A0A090I380	0	26	26	0	0	0	0	28	0.0	Not Validated
25	A0A090I2V8	A0A090I2V8_METFO_Lipoprotein-releasing_system_ATP-binding_protein_LolD_OS=Methanobacterium_formicicum_OX=2162_GN=lolD1_PE=4_SV=1			24.4138405462139	86.94	0.0	0.0					Single Protein		A0A090I2V8	0	37	37	0	0	0	0	44	0.0	Not Validated
26	A0A090I379	A0A090I379_METFO_Type_11_methyltransferase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1297_PE=4_SV=1			30.073512913190115	75.67	0.0	0.0					Single Protein		A0A090I379	0	39	39	0	0	0	0	53	0.0	Not Validated
27	A0A090I2T3	A0A090I2T3_METFO_Methyl-coenzyme_M_reductase_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=mrtB_PE=3_SV=1			47.4749949124951	41.76	42.89	708.151418881275	Oxidation of M(M30)	Oxidation of M(1)			Single Protein		A0A090I2T3	20	33	33	20	33	20	142	276	100.0	Confident
28	A0A090I353	A0A090I353_METFO_Isoleucine--tRNA_ligase_OS=Methanobacterium_formicicum_OX=2162_GN=ileS_PE=3_SV=1			122.24897856629357	71.54	0.0	0.0					Single Protein		A0A090I353	0	91	91	0	0	0	1	123	52.94117647058824	Not Validated
29	A0A090JWZ4	A0A090JWZ4_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1711_PE=4_SV=1			35.08303341119526	100.0	12.09	30.864912736474917					Single Protein		A0A090JWZ4	2	31	31	2	31	2	2	47	100.0	Confident
30	A0A090I355	A0A090I355_METFO_TetR_family_transcriptional_regulator_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2159_PE=4_SV=1			25.352092563224133	86.3	0.0	0.0					Single Protein		A0A090I355	0	23	23	0	0	0	0	28	0.0	Not Validated
