	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A0A090I368	A0A090I368_METFO_Formylmethanofuran_dehydrogenase_subunit_E_OS=Methanobacterium_formicicum_OX=2162_GN=fwdE-2_PE=4_SV=1			22.860347077954216	85.37	7.32	52.85337893002165					Single Protein		A0A090I368	1	10	10	1	10	1	1	12	84.0	Doubtful
2	A0A090I383	A0A090I383_METFO_Diaminopimelate_decarboxylase_OS=Methanobacterium_formicicum_OX=2162_GN=lysA_PE=3_SV=1			47.44991535294705	77.8	6.07	41.460239849443					Single Protein		A0A090I383	2	22	22	2	22	2	3	25	100.0	Confident
3	A0A090I2T3	A0A090I2T3_METFO_Methyl-coenzyme_M_reductase_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=mrtB_PE=3_SV=1			47.4749949124951	41.76	45.15	1772.3720777894728	Oxidation of M(M30)	Oxidation of M(1)			Single Protein		A0A090I2T3	16	19	19	16	19	16	195	240	100.0	Confident
4	A0A090I345	A0A090I345_METFO_3-isopropylmalate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=leuB3_PE=4_SV=1			35.66912764819991	55.79	11.89	169.56091832010074					Single Protein		A0A090I345	3	15	15	3	15	3	6	23	100.0	Confident
5	A0A090I366	A0A090I366_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1271_PE=4_SV=1			40.288953327701606	56.7	2.85	42.48997129668407					Single Protein		A0A090I366	1	7	7	1	7	1	1	7	100.0	Doubtful
6	A0A090I360	A0A090I360_METFO_F420H2_oxidase_FprA_OS=Methanobacterium_formicicum_OX=2162_GN=fprA3_PE=4_SV=1			45.63002841869407	89.93	20.88	166.2739382231578					Single Protein		A0A090I360	5	19	19	5	19	5	9	32	100.0	Confident
7	A0A090I2T7	A0A090I2T7_METFO_Methyl-coenzyme_M_reductase_subunit_gamma_OS=Methanobacterium_formicicum_OX=2162_GN=mcrG_PE=3_SV=1			28.43216440352032	100.0	20.88	246.578347484773					Single Protein		A0A090I2T7	3	25	25	3	25	3	9	44	100.0	Confident
8	A0A090I2R3	A0A090I2R3_METFO_TGc_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1067_PE=4_SV=1			130.82308384757442	49.0	1.58	14.219084882748605					Single Protein		A0A090I2R3	1	20	19	1	20	1	1	21	89.65517241379311	Doubtful
9	A0A090I2R9	A0A090I2R9_METFO_F420-non-reducing_hydrogenase_subunit_A_OS=Methanobacterium_formicicum_OX=2162_GN=mvhA_PE=3_SV=1			52.56858579702727	88.35	68.64	457.036042852484	Oxidation of M(M301, M406, M408)	Oxidation of M(3)			Single Protein		A0A090I2R9	27	42	42	27	42	27	117	162	100.0	Confident
10	A0A090I2P0	A0A090I2P0_METFO_CBS_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0268_PE=4_SV=1			34.394967453178985	88.5	14.7	110.82673018719944					Single Protein		A0A090I2P0	3	14	14	3	14	3	4	16	100.0	Confident
11	A0A090I305	A0A090I305_METFO_Coenzyme_F420_hydrogenase_alpha_subunit_FrhA_OS=Methanobacterium_formicicum_OX=2162_GN=frhA_PE=3_SV=1			44.09236639535179	75.06	13.09	137.48265637084182	Oxidation of M(M159)	Oxidation of M(1)			Single Protein		A0A090I305	5	18	18	5	18	5	11	30	100.0	Confident
12	A0A090I314	A0A090I314_METFO_CBS_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1038_PE=4_SV=1			29.47953778673751	89.35	12.93	116.72625194621385					Single Protein		A0A090I314	3	14	14	3	14	3	4	19	100.0	Confident
13	A0A090I2W9	A0A090I2W9_METFO_Proteasome_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=psmB_PE=3_SV=1			22.664733376012695	100.0	30.48	288.0718887316854					Single Protein		A0A090I2W9	4	7	7	4	7	4	9	17	100.0	Confident
14	A0A090I2F4	A0A090I2F4_METFO_Polyferredoxin_protein_MvhB_OS=Methanobacterium_formicicum_OX=2162_GN=mvhB_PE=4_SV=1			44.274922233866775	73.61	2.66	35.64125881794223					Single Protein		A0A090I2F4	1	15	15	1	15	1	1	16	84.0	Doubtful
15	A0A090JWL2	A0A090JWL2_METFO_IMP_cyclohydrolase_OS=Methanobacterium_formicicum_OX=2162_GN=purO_PE=3_SV=1			22.052009680569938	100.0	26.0	234.75709141417946					Single Protein		A0A090JWL2	3	12	12	3	12	3	7	30	100.0	Confident
16	A0A090I2C6	A0A090I2C6_METFO_Methyl-coenzyme_M_reductase_component_A2_AtwA1_OS=Methanobacterium_formicicum_OX=2162_GN=atwA1_PE=4_SV=1			59.647821732687056	83.9	7.3	54.56962516432984					Single Protein		A0A090I2C6	3	21	16	1	16	1	5	30	100.0	Confident
17	A0A090JWH2	A0A090JWH2_METFO_Phosphoglucosamine_mutase_GlmM2_OS=Methanobacterium_formicicum_OX=2162_GN=glmM3_PE=3_SV=1			48.91080723516961	85.97	5.12	65.11383822508677					Single Protein		A0A090JWH2	2	13	13	2	13	2	5	17	100.0	Confident
18	A0A090I2M3	A0A090I2M3_METFO_V-type_ATP_synthase_alpha_chain_OS=Methanobacterium_formicicum_OX=2162_GN=atpA_PE=3_SV=1			63.923622566393426	84.93	59.76	519.8837571651528	Oxidation of M(M20, M299, M328)	Oxidation of M(3)			Single Protein		A0A090I2M3	33	53	53	33	53	33	155	226	100.0	Confident
19	A0A090JX53	A0A090JX53_METFO_Cell_wall_biosynthesis_protein_Mur_ligase_family_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_1121_PE=4_SV=1			51.38011758520889	80.69	2.79	53.771427695555516					Single Protein		A0A090JX53	1	7	7	1	7	1	2	8	100.0	Doubtful
20	A0A089ZG55	A0A089ZG55_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2367_PE=4_SV=1			21.572002148129528	47.17	15.57	162.52414020981655					Single Protein		A0A089ZG55	2	4	4	2	4	2	2	10	100.0	Confident
21	K22E_HUMAN				65.82539290353346	79.07	29.77	247.23457018889303					Single Protein		K22E_HUMAN	17	36	34	15	34	15	81	121	100.0	Confident
22	A0A090JX27	A0A090JX27_METFO_Amino_acid-binding_ACT_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1731_PE=4_SV=1			16.468742764835408	55.03	9.4	98.49947891504033					Single Protein		A0A090JX27	1	10	10	1	10	1	1	12	92.0	Doubtful
23	A0A090I2K0	A0A090I2K0_METFO_Phosphoribosylformylglycinamidine_cyclo-ligase_OS=Methanobacterium_formicicum_OX=2162_GN=purM_PE=3_SV=1			39.38140142781317	80.49	3.85	33.54471418159269					Single Protein		A0A090I2K0	1	4	4	1	4	1	1	4	100.0	Doubtful
24	A0A090I2L6	A0A090I2L6_METFO_D-3-phosphoglycerate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=serA3_PE=3_SV=1			57.753524852499645	83.36	16.07	146.46312686598938					Single Protein		A0A090I2L6	7	33	33	7	33	7	23	65	100.0	Confident
25	A0A090I2I6	A0A090I2I6_METFO_Archaeal_glutamate_synthase_[NADPH]_OS=Methanobacterium_formicicum_OX=2162_GN=gltA2_PE=3_SV=1			65.72730459220351	78.06	5.81	38.87291894559648					Single Protein		A0A090I2I6	3	16	16	3	16	3	3	20	100.0	Confident
26	A0A090I2G6	A0A090I2G6_METFO_Methyl-coenzyme_M_reductase_subunit_alpha_OS=Methanobacterium_formicicum_OX=2162_GN=mcrA_PE=3_SV=1			60.54256923302673	57.82	43.82	1106.8998574521022	Oxidation of M(M204, M480)	Oxidation of M(2)			Single Protein		A0A090I2G6	21	33	33	21	33	21	137	215	100.0	Confident
27	A0A090JWM7	A0A090JWM7_METFO_2-oxoglutarate_synthase_subunit_KorC_OS=Methanobacterium_formicicum_OX=2162_GN=korC_PE=4_SV=1			21.7442460266449	100.0	17.24	213.49640750058006					Single Protein		A0A090JWM7	2	5	5	2	5	2	5	9	100.0	Confident
28	A0A090I2G3	A0A090I2G3_METFO_Tetrahydromethanopterin_S-methyltransferase_subunit_A_OS=Methanobacterium_formicicum_OX=2162_GN=mtrA1_PE=3_SV=1			25.55408805266908	51.46	13.81	767.1800373012403	Oxidation of M(M61)	Oxidation of M(1)			Single Protein		A0A090I2G3	3	5	4	3	4	3	13	18	100.0	Confident
29	A0A089ZG02	A0A089ZG02_METFO_DNA_repair_and_recombination_protein_RadA_OS=Methanobacterium_formicicum_OX=2162_GN=radA_PE=3_SV=1			33.94770306946725	77.49	19.29	136.3734140995234					Single Protein		A0A089ZG02	5	22	22	5	22	5	6	32	100.0	Confident
30	A0A090JWN5	A0A090JWN5_METFO_DNA-directed_RNA_polymerase_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=rpoB1_PE=3_SV=1			67.8535797713042	74.13	2.49	21.626632097114644					Single Protein		A0A090JWN5	1	30	30	1	30	1	2	30	100.0	Doubtful
31	A0A090JWN0	A0A090JWN0_METFO_Putative_secreted_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1604_PE=4_SV=1			30.278711658742367	69.06	21.58	422.72693034371486					Single Protein		A0A090JWN0	4	15	15	4	15	4	14	30	100.0	Confident
32	A0A090I494	A0A090I494_METFO_Short-chain_dehydrogenase_family_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_1978_PE=4_SV=1			27.67308345546492	87.21	20.54	200.6470866787859					Single Protein		A0A090I494	4	12	12	4	12	4	10	21	100.0	Confident
33	A0A090I3Y0	A0A090I3Y0_METFO_Phenylalanine--tRNA_ligase_beta_subunit_OS=Methanobacterium_formicicum_OX=2162_GN=pheT_PE=3_SV=1			62.976910213122075	93.53	7.19	38.20011842538424					Single Protein		A0A090I3Y0	3	14	14	3	14	3	3	18	100.0	Confident
34	A0A090I3V1	A0A090I3V1_METFO_Formate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=fdhA_PE=4_SV=1			75.66813409828335	73.68	13.3	77.23889127507344					Single Protein		A0A090I3V1	8	26	26	8	26	8	13	42	100.0	Confident
35	A0A090I471	A0A090I471_METFO_GDP-mannose_4,6-dehydratase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1648_PE=4_SV=1			46.0954035172292	90.75	4.14	29.04810370148643					Single Protein		A0A090I471	1	14	14	1	14	1	1	25	100.0	Doubtful
36	A0A090I478	A0A090I478_METFO_Putative_secreted_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1803_PE=4_SV=1			14.857632858645031	100.0	8.03	79.08717285149224					Single Protein		A0A090I478	1	3	3	1	3	1	1	4	96.0	Doubtful
37	A0A090I3T1	A0A090I3T1_METFO_Elongation_factor_2_OS=Methanobacterium_formicicum_OX=2162_GN=fusA_PE=3_SV=1			80.1620668389784	95.58	28.73	243.25831294280025	Oxidation of M(M73)	Oxidation of M(1)			Single Protein		A0A090I3T1	16	52	52	16	52	16	43	98	100.0	Confident
38	A0A090I3S6	A0A090I3S6_METFO_DNA-directed_RNA_polymerase_subunit_A''_OS=Methanobacterium_formicicum_OX=2162_GN=rpoA2_PE=3_SV=1			42.69348651441685	84.86	3.66	30.781087160950108					Single Protein		A0A090I3S6	1	23	23	1	23	1	1	29	100.0	Doubtful
39	A0A090I465	A0A090I465_METFO_Spore_coat_polysaccharide_biosynthesis_protein_SpsK_OS=Methanobacterium_formicicum_OX=2162_GN=spsK_PE=4_SV=1			31.44358746824261	74.55	12.54	130.22767645017353					Single Protein		A0A090I465	2	11	11	2	11	2	4	19	100.0	Confident
40	A0A089ZGG9	A0A089ZGG9_METFO_50S_ribosomal_protein_L4_OS=Methanobacterium_formicicum_OX=2162_GN=rpl4p_PE=3_SV=1			28.620400066660952	100.0	6.87	103.38685763983243					Single Protein		A0A089ZGG9	2	10	10	2	10	2	3	14	100.0	Confident
