	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting	Confidently Localized Modification Sites	# Confidently Localized Modification Sites	Ambiguously Localized Modification Sites	#Ambiguously Localized Modification Sites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A0A090I374	A0A090I374_METFO_Putative_membrane_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1287_PE=4_SV=1			13.819798672574136	26.67	0.0	0.0					Single Protein		A0A090I374	0	1	1	0	0	0	0	1	0.0	Not Validated
2	A0A090I2V5	A0A090I2V5_METFO_tRNA_(guanine(26)-N(2))-dimethyltransferase_OS=Methanobacterium_formicicum_OX=2162_GN=trm1_PE=3_SV=1			43.31921694621714	89.69	0.0	0.0					Single Protein		A0A090I2V5	0	48	48	0	0	0	0	72	0.0	Not Validated
3	A0A090I376	A0A090I376_METFO_Type_11_methyltransferase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1129_PE=4_SV=1			29.22617224651586	85.49	0.0	0.0					Single Protein		A0A090I376	0	16	16	0	0	0	0	30	0.0	Not Validated
4	A0A090I377	A0A090I377_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1292_PE=4_SV=1			35.647034806501104	69.47	0.0	0.0					Single Protein		A0A090I377	0	24	24	0	0	0	0	28	0.0	Not Validated
5	A0A090I370	A0A090I370_METFO_N-acetyltransferase_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1119_PE=4_SV=1			22.77830980866992	77.95	0.0	0.0					Single Protein		A0A090I370	0	34	34	0	0	0	0	52	58.82352941176471	Not Validated
6	A0A090I371	A0A090I371_METFO_Imidazole_glycerol_phosphate_synthase_subunit_HisF_OS=Methanobacterium_formicicum_OX=2162_GN=hisF1_PE=3_SV=1			30.075956683420745	78.47	0.0	0.0					Single Protein		A0A090I371	0	12	12	0	0	0	0	16	0.0	Not Validated
7	A0A090I2V2	A0A090I2V2_METFO_Protein_synthesis_factor_GTP-binding_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0926_PE=4_SV=1			58.89485740934137	93.4	0.0	0.0					Single Protein		A0A090I2V2	0	44	44	0	0	0	0	55	0.0	Not Validated
8	A0A090I373	A0A090I373_METFO_ABC-type_transport_system,_permease_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1124_PE=4_SV=1			38.55080552296464	75.82	0.0	0.0					Single Protein		A0A090I373	0	10	10	0	0	0	0	16	0.0	Not Validated
9	A0A090I2V3	A0A090I2V3_METFO_Acetyltransferase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1118_PE=4_SV=1			16.174096576547626	62.86	0.0	0.0					Single Protein		A0A090I2V3	0	21	21	0	0	0	0	27	0.0	Not Validated
10	A0A089ZFJ4	A0A089ZFJ4_METFO_CDP-diacylglycerol/serine_O-phosphatidyltransferase_OS=Methanobacterium_formicicum_OX=2162_GN=pssA_PE=3_SV=1			26.16305517403422	50.42	0.0	0.0					Single Protein		A0A089ZFJ4	0	2	2	0	0	0	0	2	0.0	Not Validated
