	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting NSAF	Confident Phosphosites	#Confident Phosphosites	Ambiguous Phosphosites	#Ambiguous Phosphosites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A0A090I368	A0A090I368_METFO_Formylmethanofuran_dehydrogenase_subunit_E_OS=Methanobacterium_formicicum_OX=2162_GN=fwdE-2_PE=4_SV=1			22.860347077954216	85.37	13.17	0.00975609756097561		0		0	Single Protein		A0A090I368	2	18	18	2	18	2	3	30	100.0	Confident
2	A0A090I385	A0A090I385_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1139_PE=4_SV=1			31.55078344610164	20.2	5.39	0.016666666666666666		0		0	Single Protein		A0A090I385	1	4	4	1	4	1	1	4	100.0	Doubtful
3	A0A090I383	A0A090I383_METFO_Diaminopimelate_decarboxylase_OS=Methanobacterium_formicicum_OX=2162_GN=lysA_PE=3_SV=1			47.44991535294705	77.8	18.93	0.013842322643343055		0		0	Single Protein		A0A090I383	7	33	33	7	33	7	14	53	100.0	Confident
4	A0A090I2T3	A0A090I2T3_METFO_Methyl-coenzyme_M_reductase_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=mrtB_PE=3_SV=1			47.4749949124951	41.76	45.37	0.20218652470922538		0		0	Single Protein		A0A090I2T3	18	29	29	18	29	18	217	289	100.0	Confident
5	A0A090I353	A0A090I353_METFO_Isoleucine--tRNA_ligase_OS=Methanobacterium_formicicum_OX=2162_GN=ileS_PE=3_SV=1			122.24897856629357	71.54	0.85	0.001221001221001221		0		0	Single Protein		A0A090I353	1	69	69	1	69	1	2	97	94.11764705882352	Doubtful
6	A0A090I345	A0A090I345_METFO_3-isopropylmalate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=leuB3_PE=4_SV=1			35.66912764819991	55.79	32.01	0.03463000223563604		0		0	Single Protein		A0A090I345	7	22	22	7	22	7	16	47	100.0	Confident
7	A0A090I2S7	A0A090I2S7_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0891_PE=4_SV=1			52.922648723390395	88.98	2.45	0.004081632653061225		0		0	Single Protein		A0A090I2S7	1	30	30	1	30	1	3	39	100.0	Doubtful
8	A0A090I366	A0A090I366_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1271_PE=4_SV=1			40.288953327701606	56.7	2.85	0.00392156862745098		0		0	Single Protein		A0A090I366	1	18	18	1	18	1	2	22	100.0	Doubtful
9	A0A090I360	A0A090I360_METFO_F420H2_oxidase_FprA_OS=Methanobacterium_formicicum_OX=2162_GN=fprA3_PE=4_SV=1			45.63002841869407	89.93	39.56	0.025276575276575272		0		0	Single Protein		A0A090I360	11	32	32	11	32	11	35	69	100.0	Confident
10	A0A090I2T7	A0A090I2T7_METFO_Methyl-coenzyme_M_reductase_subunit_gamma_OS=Methanobacterium_formicicum_OX=2162_GN=mcrG_PE=3_SV=1			28.43216440352032	100.0	39.76	0.034987569324918706		0		0	Single Protein		A0A090I2T7	8	52	52	8	52	8	23	104	100.0	Confident
11	A0A090I2T8	A0A090I2T8_METFO_Digeranylgeranylglycerophospholipid_reductase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1097_PE=3_SV=1			42.2009676244594	91.6	2.8	0.005555555555555556		0		0	Single Protein		A0A090I2T8	1	26	26	1	26	1	3	34	100.0	Doubtful
12	A0A090I333	A0A090I333_METFO_Signal_recognition_particle_54_kDa_protein_OS=Methanobacterium_formicicum_OX=2162_GN=srp54_PE=3_SV=1			49.52492927884669	92.99	2.04	0.0024330900243309003		0		0	Single Protein		A0A090I333	1	53	53	1	53	1	1	72	76.47058823529412	Doubtful
13	A0A090I2R3	A0A090I2R3_METFO_TGc_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1067_PE=4_SV=1			130.82308384757442	49.0	19.19	0.013117565578195496		0		0	Single Protein		A0A090I2R3	16	41	40	15	40	15	35	85	100.0	Confident
14	A0A090I340	A0A090I340_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2282_PE=4_SV=1			15.12075937116786	100.0	21.97	0.026515151515151516		0		0	Single Protein		A0A090I340	2	23	23	2	23	2	4	40	100.0	Confident
15	A0A090I2R9	A0A090I2R9_METFO_F420-non-reducing_hydrogenase_subunit_A_OS=Methanobacterium_formicicum_OX=2162_GN=mvhA_PE=3_SV=1			52.56858579702727	88.35	77.54	0.05122064640302328		0		0	Single Protein		A0A090I2R9	33	63	63	33	63	33	169	279	100.0	Confident
16	A0A090JWV3	A0A090JWV3_METFO_Acetylglutamate_kinase_OS=Methanobacterium_formicicum_OX=2162_GN=argB_PE=3_SV=1			31.53611919659463	88.74	10.58	0.005128205128205128		0		0	Single Protein		A0A090JWV3	3	19	19	3	19	3	3	26	100.0	Confident
17	A0A090I2P0	A0A090I2P0_METFO_CBS_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0268_PE=4_SV=1			34.394967453178985	88.5	35.14	0.026438312990659563		0		0	Single Protein		A0A090I2P0	10	31	31	10	31	10	24	59	100.0	Confident
18	A0A090I305	A0A090I305_METFO_Coenzyme_F420_hydrogenase_alpha_subunit_FrhA_OS=Methanobacterium_formicicum_OX=2162_GN=frhA_PE=3_SV=1			44.09236639535179	75.06	26.17	0.01942646142041913		0		0	Single Protein		A0A090I305	9	23	23	9	23	9	21	45	100.0	Confident
19	A0A090I306	A0A090I306_METFO_Restriction_endonuclease_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1019_PE=4_SV=1			37.18890219275979	91.13	7.03	0.0061162079510703364		0		0	Single Protein		A0A090I306	2	40	40	2	40	2	3	57	100.0	Confident
20	A0A090JWU4	A0A090JWU4_METFO_Valine--tRNA_ligase_OS=Methanobacterium_formicicum_OX=2162_GN=valS_PE=3_SV=1			102.69087771776809	80.22	1.35	0.0012531328320802004		0		0	Single Protein		A0A090JWU4	1	111	111	1	111	1	1	170	100.0	Doubtful
21	A0A090I314	A0A090I314_METFO_CBS_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1038_PE=4_SV=1			29.47953778673751	89.35	18.25	0.03738910012674272		0		0	Single Protein		A0A090I314	4	28	28	4	28	4	16	49	100.0	Confident
22	A0A089ZFA3	A0A089ZFA3_METFO_Acetyl-CoA_decarbonylase/synthase_complex_subunit_delta_OS=Methanobacterium_formicicum_OX=2162_GN=cdhD_PE=3_SV=1			43.10262457330542	75.45	5.94	0.010086455331412104		0		0	Single Protein		A0A089ZFA3	2	31	31	2	31	2	5	42	100.0	Confident
23	A0A090I2W9	A0A090I2W9_METFO_Proteasome_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=psmB_PE=3_SV=1			22.664733376012695	100.0	62.38	0.0386432350718065		0		0	Single Protein		A0A090I2W9	10	20	20	10	20	10	24	55	100.0	Confident
24	A0A090JWK6	A0A090JWK6_METFO_tRNA-dihydrouridine_synthase_DusA_OS=Methanobacterium_formicicum_OX=2162_GN=dusA_PE=4_SV=1			25.844120833002787	69.75	5.46	0.006024096385542169		0		0	Single Protein		A0A090JWK6	1	12	12	1	12	1	1	12	100.0	Doubtful
25	A0A090JWL7	A0A090JWL7_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1589_PE=4_SV=1			23.783394192782957	69.71	3.85	0.04046242774566474		0		0	Single Protein		A0A090JWL7	1	21	21	1	21	1	8	32	100.0	Doubtful
26	A0A090I2F4	A0A090I2F4_METFO_Polyferredoxin_protein_MvhB_OS=Methanobacterium_formicicum_OX=2162_GN=mvhB_PE=4_SV=1			44.274922233866775	73.61	8.47	0.01425438596491228		0		0	Single Protein		A0A090I2F4	3	22	22	3	22	3	7	42	100.0	Confident
27	A0A090JWL2	A0A090JWL2_METFO_IMP_cyclohydrolase_OS=Methanobacterium_formicicum_OX=2162_GN=purO_PE=3_SV=1			22.052009680569938	100.0	26.0	0.051666666666666666		0		0	Single Protein		A0A090JWL2	4	14	14	4	14	4	15	42	100.0	Confident
28	A0A090I2C6	A0A090I2C6_METFO_Methyl-coenzyme_M_reductase_component_A2_AtwA1_OS=Methanobacterium_formicicum_OX=2162_GN=atwA1_PE=4_SV=1			59.647821732687056	83.9	22.28	0.015637079951195256		0		0	Single Protein		A0A090I2C6	9	33	25	5	25	5	24	75	100.0	Confident
29	A0A090JWI9	A0A090JWI9_METFO_Thioredoxin_reductase_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1564_PE=4_SV=1			33.586144829347	71.75	13.96	0.0091991341991342		0		0	Single Protein		A0A090JWI9	3	14	14	3	14	3	4	26	100.0	Confident
30	A0A090I2A3	A0A090I2A3_METFO_Lactaldehyde_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=cofA_PE=3_SV=1			50.26030244149031	84.83	4.7	0.005868544600938967		0		0	Single Protein		A0A090I2A3	2	49	49	2	49	2	4	61	100.0	Confident
31	A0A089ZG68	A0A089ZG68_METFO_Energy-converting_hydrogenase_B_subunit_M_EhbM_OS=Methanobacterium_formicicum_OX=2162_GN=ehbM_PE=4_SV=1			15.774053564133867	81.76	5.41	0.013513513513513514		0		0	Single Protein		A0A089ZG68	1	4	4	1	4	1	2	8	100.0	Doubtful
32	A0A090JWH6	A0A090JWH6_METFO_Acyl-coenzyme_A_synthetase_ACSM5,_mitochondrial_OS=Methanobacterium_formicicum_OX=2162_GN=Acsm5_PE=4_SV=1			63.031098341591125	75.9	1.8	0.0020876826722338203		0		0	Single Protein		A0A090JWH6	1	38	38	1	38	1	1	47	100.0	Doubtful
33	A0A090JWH2	A0A090JWH2_METFO_Phosphoglucosamine_mutase_GlmM2_OS=Methanobacterium_formicicum_OX=2162_GN=glmM3_PE=3_SV=1			48.91080723516961	85.97	17.82	0.011177884615384619		0		0	Single Protein		A0A090JWH2	6	33	33	6	33	6	13	56	100.0	Confident
34	A0A090JX49	A0A090JX49_METFO_tRNA-guanine(15)_transglycosylase_OS=Methanobacterium_formicicum_OX=2162_GN=tgtA_PE=3_SV=1			74.99375687446981	79.36	1.82	0.0017241379310344827		0		0	Single Protein		A0A090JX49	1	54	54	1	54	1	2	74	100.0	Doubtful
35	A0A090I2M9	A0A090I2M9_METFO_Catalase-peroxidase_OS=Methanobacterium_formicicum_OX=2162_GN=katG_PE=3_SV=1			81.02099360457709	82.66	26.49	0.01012755620447928		0		0	Single Protein		A0A090I2M9	13	74	74	13	74	13	23	113	100.0	Confident
36	A0A090I2M3	A0A090I2M3_METFO_V-type_ATP_synthase_alpha_chain_OS=Methanobacterium_formicicum_OX=2162_GN=atpA_PE=3_SV=1			63.923622566393426	84.93	62.33	0.05314192702336819		0		0	Single Protein		A0A090I2M3	32	58	58	32	58	32	186	311	100.0	Confident
37	A0A089ZG23	A0A089ZG23_METFO_Formylmethanofuran_dehydrogenase_subunit_F_FwdF1_OS=Methanobacterium_formicicum_OX=2162_GN=fwdF1_PE=4_SV=1			38.56880348655781	91.48	12.5	0.010890151515151516		0		0	Single Protein		A0A089ZG23	3	22	22	3	22	3	6	28	100.0	Confident
38	A0A090JX53	A0A090JX53_METFO_Cell_wall_biosynthesis_protein_Mur_ligase_family_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_1121_PE=4_SV=1			51.38011758520889	80.69	12.23	0.013110008271298594		0		0	Single Protein		A0A090JX53	5	26	26	5	26	5	8	38	100.0	Confident
39	A0A089ZG55	A0A089ZG55_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2367_PE=4_SV=1			21.572002148129528	47.17	35.85	0.05249999999999999		0		0	Single Protein		A0A089ZG55	4	6	6	4	6	4	9	22	100.0	Confident
40	K22E_HUMAN				65.82539290353346	79.07	43.72	0.03344418259213385		0		0	Single Protein		K22E_HUMAN	29	72	65	26	66	26	128	226	100.0	Confident
41	A0A090JX27	A0A090JX27_METFO_Amino_acid-binding_ACT_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1731_PE=4_SV=1			16.468742764835408	55.03	9.4	0.03636363636363636		0		0	Single Protein		A0A090JX27	1	16	16	1	16	1	4	26	100.0	Doubtful
42	A0A090I2K4	A0A090I2K4_METFO_Putative_ATP-binding_protein_MJ0685_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0760_PE=4_SV=1			27.741478173527153	72.0	4.4	0.005555555555555556		0		0	Single Protein		A0A090I2K4	1	14	14	1	14	1	1	16	100.0	Doubtful
43	A0A090JX22	A0A090JX22_METFO_Proline--tRNA_ligase_OS=Methanobacterium_formicicum_OX=2162_GN=proS_PE=3_SV=1			54.00243693518724	100.0	9.19	0.004629629629629629		0		0	Single Protein		A0A090JX22	3	58	58	3	58	3	5	84	100.0	Confident
44	A0A090I2K0	A0A090I2K0_METFO_Phosphoribosylformylglycinamidine_cyclo-ligase_OS=Methanobacterium_formicicum_OX=2162_GN=purM_PE=3_SV=1			39.38140142781317	80.49	3.85	0.0030959752321981426		0		0	Single Protein		A0A090I2K0	1	2	2	1	2	1	1	3	100.0	Doubtful
45	A0A090I2L6	A0A090I2L6_METFO_D-3-phosphoglycerate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=serA3_PE=3_SV=1			57.753524852499645	83.36	24.95	0.020294971605455465		0		0	Single Protein		A0A090I2L6	11	50	50	11	50	11	35	107	100.0	Confident
46	A0A090I2L3	A0A090I2L3_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0324_PE=4_SV=1			12.657395556600319	100.0	7.14	0.017857142857142856		0		0	Single Protein		A0A090I2L3	1	21	21	1	21	1	2	36	100.0	Doubtful
47	A0A090I2L4	A0A090I2L4_METFO_tRNA-binding_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0780_PE=4_SV=1			26.84717107774352	68.33	10.83	0.024390243902439025		0		0	Single Protein		A0A090I2L4	2	17	17	2	17	2	5	32	100.0	Confident
48	A0A090I2I6	A0A090I2I6_METFO_Archaeal_glutamate_synthase_[NADPH]_OS=Methanobacterium_formicicum_OX=2162_GN=gltA2_PE=3_SV=1			65.72730459220351	78.06	10.48	0.0051206784083496415		0		0	Single Protein		A0A090I2I6	5	30	30	5	30	5	6	41	100.0	Confident
49	A0A090I2J1	A0A090I2J1_METFO_Pyruvate_ferredoxin_oxidoreductase_beta_subunit_PorB_OS=Methanobacterium_formicicum_OX=2162_GN=porB_PE=4_SV=1			31.26169712352987	65.85	10.8	0.006172839506172839		0		0	Single Protein		A0A090I2J1	2	15	15	2	15	2	2	19	100.0	Confident
50	A0A089ZG11	A0A089ZG11_METFO_ABC_transporter_permease_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2312_PE=4_SV=1			39.14748527966948	50.96	2.2	0.004651162790697674		0		0	Single Protein		A0A089ZG11	1	14	14	1	14	1	1	17	100.0	Doubtful
51	A0A090JWM7	A0A090JWM7_METFO_2-oxoglutarate_synthase_subunit_KorC_OS=Methanobacterium_formicicum_OX=2162_GN=korC_PE=4_SV=1			21.7442460266449	100.0	17.24	0.017241379310344827		0		0	Single Protein		A0A090JWM7	2	7	7	2	7	2	5	13	100.0	Confident
52	A0A090I2G6	A0A090I2G6_METFO_Methyl-coenzyme_M_reductase_subunit_alpha_OS=Methanobacterium_formicicum_OX=2162_GN=mcrA_PE=3_SV=1			60.54256923302673	57.82	47.45	0.09863995674143401		0		0	Single Protein		A0A090I2G6	25	45	45	25	45	25	184	272	100.0	Confident
53	A0A090I2G1	A0A090I2G1_METFO_Universal_stress_protein_MTBMA_c15380_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0895_PE=4_SV=1			16.00946531888474	100.0	18.18	0.011655011655011654		0		0	Single Protein		A0A090I2G1	2	23	19	1	23	2	3	37	100.0	Confident
54	A0A090I2G3	A0A090I2G3_METFO_Tetrahydromethanopterin_S-methyltransferase_subunit_A_OS=Methanobacterium_formicicum_OX=2162_GN=mtrA1_PE=3_SV=1			25.55408805266908	51.46	17.57	0.058823529411764684		0		0	Single Protein		A0A090I2G3	5	6	5	4	5	4	16	24	100.0	Confident
55	A0A089ZG02	A0A089ZG02_METFO_DNA_repair_and_recombination_protein_RadA_OS=Methanobacterium_formicicum_OX=2162_GN=radA_PE=3_SV=1			33.94770306946725	77.49	52.09	0.05595721705680205		0		0	Single Protein		A0A089ZG02	13	31	31	13	31	13	50	88	100.0	Confident
56	A0A090JWN5	A0A090JWN5_METFO_DNA-directed_RNA_polymerase_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=rpoB1_PE=3_SV=1			67.8535797713042	74.13	4.64	0.003992015968063872		0		0	Single Protein		A0A090JWN5	2	80	80	2	80	2	3	101	100.0	Confident
57	A0A090JWN0	A0A090JWN0_METFO_Putative_secreted_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1604_PE=4_SV=1			30.278711658742367	69.06	27.34	0.09348484848484846		0		0	Single Protein		A0A090JWN0	6	22	22	6	22	6	39	73	100.0	Confident
