	Main Accession	Description	Gene Name	Chromosome	MW [kDa]	Possible Coverage [%]	Coverage [%]	Spectrum Counting NSAF	Confident Phosphosites	#Confident Phosphosites	Ambiguous Phosphosites	#Ambiguous Phosphosites	Protein Inference	Secondary Accessions	Protein Group	#Validated Peptides	#Peptides	#Unique	#Validated Unique	#Unique to Group	#Validated Unique to Group	#Validated PSMs	#PSMs	Confidence [%]	Validation
1	A0A090I368	A0A090I368_METFO_Formylmethanofuran_dehydrogenase_subunit_E_OS=Methanobacterium_formicicum_OX=2162_GN=fwdE-2_PE=4_SV=1			22.860347077954216	85.37	6.34	0.00975609756097561		0		0	Single Protein		A0A090I368	1	23	23	1	23	1	2	28	100.0	Doubtful
2	A0A090I383	A0A090I383_METFO_Diaminopimelate_decarboxylase_OS=Methanobacterium_formicicum_OX=2162_GN=lysA_PE=3_SV=1			47.44991535294705	71.73	7.94	0.008078231292517007		0		0	Single Protein		A0A090I383	3	22	22	3	22	3	5	34	100.0	Confident
3	A0A090I2T3	A0A090I2T3_METFO_Methyl-coenzyme_M_reductase_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=mrtB_PE=3_SV=1			47.4749949124951	41.76	46.95	0.15670169633849104		0		0	Single Protein		A0A090I2T3	18	28	28	18	28	18	204	289	100.0	Confident
4	A0A090I345	A0A090I345_METFO_3-isopropylmalate_dehydrogenase_OS=Methanobacterium_formicicum_OX=2162_GN=leuB3_PE=4_SV=1			35.66912764819991	55.79	28.05	0.023239436619718314		0		0	Single Protein		A0A090I345	6	27	27	6	27	6	12	46	100.0	Confident
5	A0A090I2S7	A0A090I2S7_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_0891_PE=4_SV=1			52.922648723390395	88.98	2.04	0.0020408163265306124		0		0	Single Protein		A0A090I2S7	1	27	27	1	27	1	1	37	100.0	Doubtful
6	A0A090I366	A0A090I366_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1271_PE=4_SV=1			40.288953327701606	56.7	2.85	0.00392156862745098		0		0	Single Protein		A0A090I366	1	18	18	1	18	1	1	25	100.0	Doubtful
7	A0A090I360	A0A090I360_METFO_F420H2_oxidase_FprA_OS=Methanobacterium_formicicum_OX=2162_GN=fprA3_PE=4_SV=1			45.63002841869407	83.78	15.97	0.009107468123861567		0		0	Single Protein		A0A090I360	4	23	23	4	23	4	7	35	100.0	Confident
8	A0A090I2T7	A0A090I2T7_METFO_Methyl-coenzyme_M_reductase_subunit_gamma_OS=Methanobacterium_formicicum_OX=2162_GN=mcrG_PE=3_SV=1			28.43216440352032	100.0	18.07	0.009370816599732263		0		0	Single Protein		A0A090I2T7	3	47	47	3	47	3	5	67	100.0	Confident
9	A0A090I2R3	A0A090I2R3_METFO_TGc_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1067_PE=4_SV=1			130.82308384757442	44.85	8.97	0.0033792650918635166		0		0	Single Protein		A0A090I2R3	8	31	31	8	31	8	8	42	100.0	Confident
10	A0A090I340	A0A090I340_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_2282_PE=4_SV=1			15.12075937116786	100.0	24.24	0.01893939393939394		0		0	Single Protein		A0A090I340	2	19	19	2	19	2	5	27	100.0	Confident
11	A0A090I2R9	A0A090I2R9_METFO_F420-non-reducing_hydrogenase_subunit_A_OS=Methanobacterium_formicicum_OX=2162_GN=mvhA_PE=3_SV=1			52.56858579702727	88.35	63.56	0.03343967760210593		0		0	Single Protein		A0A090I2R9	24	49	49	24	49	24	73	132	100.0	Confident
12	A0A090I2P0	A0A090I2P0_METFO_CBS_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=BRM9_0268_PE=4_SV=1			34.394967453178985	88.5	21.41	0.01678700361010831		0		0	Single Protein		A0A090I2P0	6	23	23	6	23	6	9	39	100.0	Confident
13	A0A090JWV3	A0A090JWV3_METFO_Acetylglutamate_kinase_OS=Methanobacterium_formicicum_OX=2162_GN=argB_PE=3_SV=1			31.53611919659463	88.74	3.07	0.0038461538461538464		0		0	Single Protein		A0A090JWV3	1	15	15	1	15	1	1	18	82.6086956521739	Doubtful
14	A0A090I305	A0A090I305_METFO_Coenzyme_F420_hydrogenase_alpha_subunit_FrhA_OS=Methanobacterium_formicicum_OX=2162_GN=frhA_PE=3_SV=1			44.09236639535179	68.89	18.77	0.011412027046468133		0		0	Single Protein		A0A090I305	8	20	20	8	20	8	12	35	100.0	Confident
15	A0A090I2P2	A0A090I2P2_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1042_PE=4_SV=1			24.130288117556468	77.1	5.14	0.006060606060606061		0		0	Single Protein		A0A090I2P2	1	14	14	1	14	1	1	20	100.0	Doubtful
16	A0A090I314	A0A090I314_METFO_CBS_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1038_PE=4_SV=1			29.47953778673751	89.35	14.07	0.020278833967046894		0		0	Single Protein		A0A090I314	3	18	18	3	18	3	7	30	100.0	Confident
17	A0A089ZFA3	A0A089ZFA3_METFO_Acetyl-CoA_decarbonylase/synthase_complex_subunit_delta_OS=Methanobacterium_formicicum_OX=2162_GN=cdhD_PE=3_SV=1			43.10262457330542	75.45	5.94	0.008645533141210375		0		0	Single Protein		A0A089ZFA3	2	25	25	2	25	2	4	34	100.0	Confident
18	A0A090JXA0	A0A090JXA0_METFO_SMC_domain-containing_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1846_PE=4_SV=1			91.25331149867795	89.5	0.0	0.0		0		0	Single Protein		A0A090JXA0	0	73	60	0	73	0	0	102	86.95652173913044	Doubtful
19	A0A090I2W9	A0A090I2W9_METFO_Proteasome_subunit_beta_OS=Methanobacterium_formicicum_OX=2162_GN=psmB_PE=3_SV=1			22.664733376012695	100.0	40.0	0.021111111111111115		0		0	Single Protein		A0A090I2W9	6	10	10	6	10	6	13	27	100.0	Confident
20	A0A090JWK6	A0A090JWK6_METFO_tRNA-dihydrouridine_synthase_DusA_OS=Methanobacterium_formicicum_OX=2162_GN=dusA_PE=4_SV=1			25.844120833002787	69.75	5.46	0.006024096385542169		0		0	Single Protein		A0A090JWK6	1	8	8	1	8	1	1	12	100.0	Doubtful
21	A0A090JWL7	A0A090JWL7_METFO_Uncharacterized_protein_OS=Methanobacterium_formicicum_OX=2162_GN=DSM1535_1589_PE=4_SV=1			23.783394192782957	69.71	3.85	0.011560693641618497		0		0	Single Protein		A0A090JWL7	1	17	17	1	17	1	2	22	100.0	Doubtful
22	A0A090I2F4	A0A090I2F4_METFO_Polyferredoxin_protein_MvhB_OS=Methanobacterium_formicicum_OX=2162_GN=mvhB_PE=4_SV=1			44.274922233866775	61.02	8.96	0.0027412280701754384		0		0	Single Protein		A0A090I2F4	3	21	21	3	21	3	2	41	100.0	Confident
23	A0A090JWL2	A0A090JWL2_METFO_IMP_cyclohydrolase_OS=Methanobacterium_formicicum_OX=2162_GN=purO_PE=3_SV=1			22.052009680569938	100.0	35.5	0.042083333333333334		0		0	Single Protein		A0A090JWL2	4	9	9	4	9	4	12	22	100.0	Confident
